"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","category","responses","question_order","name1","name2","modifier","adjective","object","frame","frame_type"
"54086","Daniel is telling Karen about a recent board game night and says: <strong>""I was feeling undermined by the other players on my team.""</strong>","","likert-stim","14","424584","0.0-1.0-0.13","mainTrial","{""certainty"":4,""age"":5,""valence"":4,""natural"":4}","[""certainty"",""age"",""valence"",""natural""]","Daniel","Karen","","undermined","board game night","F3","filler_game_experience"
"16817","Alice is describing a drawing to David and says: <strong>""I thought the drawing was very gorgeous.""</strong>","","likert-stim","15","441401","0.0-1.0-0.14","mainTrial","{""age"":6,""certainty"":2,""natural"":7,""valence"":5}","[""age"",""certainty"",""natural"",""valence""]","Alice","David","very","gorgeous","drawing","5","art_description"
"63506","Chris is telling Sarah about the house of a recent date and says: <strong>""The kitchen was  spotless.""</strong>","","likert-stim","16","504909","0.0-1.0-0.15","mainTrial","{""certainty"":5,""valence"":7,""age"":4,""natural"":7}","[""certainty"",""valence"",""age"",""natural""]","Chris","Sarah","","spotless","kitchen","7","date_location"
"15039","Dmitri is telling Samantha about a recent date and says: <strong>""Truthfully, I was disappointed by the whole conversation.""</strong>","","likert-stim","17","519948","0.0-1.0-0.16","mainTrial","{""natural"":7,""valence"":5,""age"":6,""certainty"":5}","[""natural"",""valence"",""age"",""certainty""]","Dmitri","Samantha","","disappointed","conversation","F6","filler_date_conversation"
"25430","Chanel is describing a mural to Mohammed and says: <strong>""I thought the mural was really ugly.""</strong>","","likert-stim","18","545378","0.0-1.0-0.17","mainTrial","{""certainty"":5,""natural"":7,""valence"":6,""age"":5}","[""certainty"",""natural"",""valence"",""age""]","Chanel","Mohammed","really","ugly","mural","5","art_description"
"74395","Marcus is telling Carlos about a some recent workplace drama and says: <strong>""When I read Belinda's letter I was  furious.""</strong>","","likert-stim","19","619773","0.0-1.0-0.18","mainTrial","{""age"":4,""natural"":7,""valence"":7,""certainty"":4}","[""age"",""natural"",""valence"",""certainty""]","Marcus","Carlos","","furious","letter","9","drama_comment"
"11707","Samantha is telling Jose about a recent date and says: <strong>""I was put off by the comedy film we saw.""</strong>","","likert-stim","20","631481","0.0-1.0-0.19","mainTrial","{""valence"":4,""certainty"":4,""natural"":7,""age"":5}","[""valence"",""certainty"",""natural"",""age""]","Samantha","Jose","","put off","comedy film","F2","filler_date_film"
"19066","Tyler is telling Daniel about the new theater in town and says: <strong>""I went and saw the new theater yesterday and it is truly small.""</strong>","","likert-stim","21","650546","0.0-1.0-0.20","mainTrial","{""age"":4,""valence"":7,""natural"":6,""certainty"":4}","[""age"",""valence"",""natural"",""certainty""]","Tyler","Daniel","truly","small","theater","4","new_building"
"93881","Mei is telling Zara about a recently-acquired table and says: <strong>""The table I got at the swap meet is very hideous.""</strong>","","likert-stim","22","744428","0.0-1.0-0.21","mainTrial","{""natural"":2,""certainty"":5,""valence"":6,""age"":6}","[""natural"",""certainty"",""valence"",""age""]","Mei","Zara","very","hideous","table","6","acquired_object"
"12456","Diego is telling Amara about a recent YouTube video and says: <strong>""Listen, the actress's acceptance speech left me feeling annoyed.""</strong>","","likert-stim","23","756886","0.0-1.0-0.22","mainTrial","{""age"":4,""valence"":4,""certainty"":2,""natural"":6}","[""age"",""valence"",""certainty"",""natural""]","Diego","Amara","","annoyed","actress's acceptance speech","F4","filler_youtube_speech"
"14263","Aisha is recounting a recent date to Chanel and says: <strong>""The food I ordered at the soup place was  tasty.""</strong>","","likert-stim","24","771149","0.0-1.0-0.23","mainTrial","{""valence"":6,""certainty"":5,""age"":4,""natural"":7}","[""valence"",""certainty"",""age"",""natural""]","Aisha","Chanel","","tasty","soup","3","date_food"
"39637","","{""correct"":""Yes"",""gender"":""Non-binary/Non-conforming"",""age"":""27"",""education"":""Hold a higher degree"",""ethnicity"":""White"",""City"":""Palo Alto"",""State"":""California"",""City2"":"""",""State2"":""California"",""payment"":""5"",""enjoy"":""5"",""comments"":""""}","survey-html-form","25","810787","0.0-2.0","demoSurvey","","","","","","","","",""
